	MNase_Overlap_5read1-SHIFT80_combined.cdt
Nuc-4611862-chr7_26864557_26864721_stddev=18.375708603116962	18.0
Nuc-4613664-chr7_27662796_27662960_stddev=18.30579254816154	1.0
Nuc-4618961-chr7_29989986_29990150_stddev=20.44233080861595	25.0
Nuc-4619832-chr7_30285025_30285189_stddev=17.665683934931273	0.0
Nuc-4625794-chr7_32891447_32891611_stddev=21.9168186280653	0.0
Nuc-4634263-chr7_37448827_37448991_stddev=18.166177363441104	4.0
Nuc-4635039-chr7_37921340_37921504_stddev=22.508862452129584	33.0
Nuc-4644825-chr7_43249127_43249291_stddev=15.769828787910159	77.0
Nuc-4649071-chr7_44573816_44573980_stddev=20.26558357292038	12.0
Nuc-4649869-chr7_44796676_44796840_stddev=15.61788613567594	6.0
Nuc-4655937-chr7_48089238_48089402_stddev=11.45636346703826	10.0
Nuc-4656379-chr7_48454978_48455142_stddev=19.857828011475306	1.0
Nuc-4570602-chr7_5045852_5046016_stddev=29.463515836235477	3.0
Nuc-4570602-chr7_5045852_5046016_stddev=29.463515836235477	3.0
Nuc-4665244-chr7_55887240_55887404_stddev=18.691768836100614	44.0
Nuc-4665686-chr7_56051315_56051479_stddev=8.226664241060735	44.0
Nuc-4682430-chr7_66205172_66205336_stddev=13.25418686256366	9.0
Nuc-4684455-chr7_66740720_66740884_stddev=7.982620009885365	0.0
Nuc-4576553-chr7_6754194_6754358_stddev=23.142982373412785	26.0
Nuc-4702508-chr7_73308652_73308816_stddev=14.076931483814219	3.0
Nuc-4703599-chr7_73578423_73578587_stddev=14.714459083583366	6.0
Nuc-4705943-chr7_74174343_74174507_stddev=18.089284734953512	1.0
Nuc-4708692-chr7_74851394_74851558_stddev=15.28237613750438	0.0
Nuc-4713092-chr7_75915156_75915320_stddev=15.622944309216779	2.0
Nuc-4713623-chr7_76048087_76048251_stddev=14.904697246170416	1.0
Nuc-4714651-chr7_76302626_76302790_stddev=23.816153838801707	48.0
Nuc-4715056-chr7_76397568_76397732_stddev=24.147505892251615	19.0
Nuc-4723259-chr7_80919343_80919507_stddev=20.91772024882643	35.0
Nuc-4730995-chr7_87152467_87152631_stddev=25.539125152993144	11.0
Nuc-4731252-chr7_87220511_87220675_stddev=16.665833312498957	9.0
Nuc-4731597-chr7_87345625_87345789_stddev=14.794931564559532	17.0
Nuc-4732194-chr7_87600718_87600882_stddev=19.601692053517898	122.0
Nuc-4732627-chr7_87876130_87876294_stddev=14.860686390607938	50.0
Nuc-4732628-chr7_87876600_87876764_stddev=23.64684616039385	40.0
Nuc-4734549-chr7_88759408_88759572_stddev=14.893857445919682	1.0
Nuc-4735784-chr7_90245202_90245366_stddev=23.96797170851278	58.0
Nuc-4741381-chr7_92447474_92447638_stddev=20.991400355595356	13.0
Nuc-4741919-chr7_92590186_92590350_stddev=13.492482355991955	17.0
Nuc-4742866-chr7_92836466_92836630_stddev=17.391728557628255	0.0
Nuc-4747561-chr7_94657091_94657255_stddev=19.379370474811612	114.0
Nuc-4748397-chr7_95396245_95396409_stddev=16.929951680051804	24.0
Nuc-4748939-chr7_95596871_95597035_stddev=19.25023190954926	92.0
Nuc-4760266-chr7_99465976_99466140_stddev=21.780912819836228	44.0
Nuc-4760614-chr7_99558615_99558779_stddev=21.61738246157004	29.0
Nuc-4760614-chr7_99558615_99558779_stddev=21.61738246157004	29.0
Nuc-4761954-chr7_99919378_99919542_stddev=17.417769225915706	17.0
Nuc-5105933-chr8_100213047_100213211_stddev=20.095639097669963	0.0
Nuc-5106234-chr8_100309822_100309986_stddev=23.357470508842102	7.0
Nuc-5112379-chr8_102412618_102412782_stddev=10.388376550113055	1.0
Nuc-5115412-chr8_103414756_103414920_stddev=18.163947645895707	17.0
Nuc-5116552-chr8_104467101_104467265_stddev=16.609267551431678	107.0
Nuc-5134274-chr8_118621804_118621968_stddev=11.313708498984761	25.0
Nuc-5135373-chr8_119855694_119855858_stddev=20.847286993755326	19.0
Nuc-5139853-chr8_123241204_123241368_stddev=18.69194716686544	2.0
Nuc-5139972-chr8_123274253_123274417_stddev=20.496569834974828	4.0
Nuc-5139972-chr8_123274253_123274417_stddev=20.496569834974828	4.0
Nuc-5143327-chr8_124372559_124372723_stddev=20.87125714948671	11.0
Nuc-5162704-chr8_132675424_132675588_stddev=22.903177848402514	16.0
Nuc-5181040-chr8_142777062_142777226_stddev=21.507208094032105	8.0
Nuc-5183224-chr8_143568795_143568959_stddev=5.938459911664721	13.0
Nuc-5183494-chr8_143716333_143716497_stddev=3.0388114452858046	0.0
Nuc-5184706-chr8_144104048_144104212_stddev=18.207141456033124	25.0
Nuc-5184824-chr8_144137776_144137940_stddev=20.88575695899002	1.0
Nuc-5185520-chr8_144326755_144326919_stddev=17.590046111998177	5.0
Nuc-5185638-chr8_144358330_144358494_stddev=17.512495538900218	0.0
Nuc-5186706-chr8_144755357_144755521_stddev=19.285290707508928	3.0
Nuc-5186851-chr8_144792234_144792398_stddev=10.585773176768903	1.0
Nuc-5187053-chr8_144852868_144853032_stddev=22.673436235908348	19.0
Nuc-4968945-chr8_17922977_17923141_stddev=22.245793900429533	17.0
Nuc-4972256-chr8_19757499_19757663_stddev=21.311440936569714	34.0
Nuc-4979887-chr8_22693399_22693563_stddev=11.32406177129037	18.0
Nuc-4980907-chr8_22999821_22999985_stddev=14.561067658589623	1.0
Nuc-4982227-chr8_23403979_23404143_stddev=19.449988195788876	18.0
Nuc-4990221-chr8_27614646_27614810_stddev=11.45443810272398	42.0
Nuc-4995084-chr8_29262937_29263101_stddev=23.10782254009645	3.0
Nuc-4995343-chr8_29350540_29350704_stddev=19.6871362400257	6.0
Nuc-5005989-chr8_37695693_37695857_stddev=13.350333514885598	0.0
Nuc-5006209-chr8_37762645_37762809_stddev=21.031061683984372	0.0
Nuc-5007543-chr8_38105413_38105577_stddev=20.867971205227935	7.0
Nuc-5008041-chr8_38231602_38231766_stddev=19.435389756832766	0.0
Nuc-5008156-chr8_38269317_38269481_stddev=22.3308456325923	50.0
Nuc-5010089-chr8_38901162_38901326_stddev=18.500102172896955	12.0
Nuc-5010341-chr8_38974030_38974194_stddev=9.578622030334008	63.0
Nuc-5014437-chr8_41578207_41578371_stddev=15.099151466224848	1.0
Nuc-5017245-chr8_42391868_42392032_stddev=8.201542911089899	5.0
Nuc-5034460-chr8_53879996_53880160_stddev=21.722216076640912	15.0
Nuc-5040675-chr8_56993716_56993880_stddev=12.80195297601112	2.0
Nuc-5050611-chr8_63038619_63038783_stddev=21.818560602772575	1.0
Nuc-5052851-chr8_65633983_65634147_stddev=20.78047773386467	64.0
Nuc-5056368-chr8_67064415_67064579_stddev=15.044333205271043	31.0
Nuc-5057168-chr8_67343645_67343809_stddev=15.570404619020021	0.0
Nuc-5063037-chr8_72075486_72075650_stddev=20.98278684422067	5.0
Nuc-5064972-chr8_73294580_73294744_stddev=18.326466517034863	0.0
Nuc-5066325-chr8_73746677_73746841_stddev=16.548697078622233	27.0
Nuc-5068481-chr8_75407084_75407248_stddev=18.168912322976297	47.0
Nuc-5069329-chr8_76999918_77000082_stddev=11.94518731540029	36.0
Nuc-5070835-chr8_79767682_79767846_stddev=20.82749687405525	16.0
Nuc-5074957-chr8_81842143_81842307_stddev=23.007245235649865	29.0
Nuc-5077283-chr8_85463898_85464062_stddev=16.943031798666148	0.0
Nuc-5080432-chr8_87873955_87874119_stddev=20.090611067392263	68.0
Nuc-5091047-chr8_94474891_94475055_stddev=16.37686826163528	38.0
Nuc-5092303-chr8_94895060_94895224_stddev=11.98552846402625	37.0
Nuc-5093693-chr8_95269260_95269424_stddev=14.90326937341364	21.0
Nuc-5096653-chr8_96645332_96645496_stddev=19.254083285978357	0.0
Nuc-5102454-chr8_98825488_98825652_stddev=12.651084853516066	16.0
Nuc-5102862-chr8_98944425_98944589_stddev=18.81030302786215	25.0
Nuc-5103052-chr8_99013337_99013501_stddev=22.11315752074294	78.0
Nuc-5293504-chr9_101449468_101449632_stddev=14.256577429383253	59.0
Nuc-5293594-chr9_101487108_101487272_stddev=20.377238132534906	22.0
Nuc-5303182-chr9_108933910_108934074_stddev=11.42122779934121	29.0
Nuc-5307475-chr9_111484249_111484413_stddev=17.875140870970075	1.0
Nuc-5313044-chr9_113275373_113275537_stddev=10.656768231793452	56.0
Nuc-5313416-chr9_113376776_113376940_stddev=12.936965616599565	18.0
Nuc-5313554-chr9_113410202_113410366_stddev=24.193472254370427	42.0
Nuc-5326026-chr9_121370099_121370263_stddev=16.859682348398174	12.0
Nuc-5328456-chr9_122213956_122214120_stddev=6.8376044392111615	10.0
Nuc-5328641-chr9_122264637_122264801_stddev=17.80511786600196	86.0
Nuc-5330204-chr9_122905141_122905305_stddev=7.23934826246853	1.0
Nuc-5335418-chr9_124450443_124450607_stddev=24.119632390786283	28.0
Nuc-5344270-chr9_127397163_127397327_stddev=14.369564189633588	0.0
Nuc-5357955-chr9_130939130_130939294_stddev=21.786438187296447	2.0
Nuc-5358635-chr9_131096531_131096695_stddev=21.17815462313716	1.0
Nuc-5359447-chr9_131276903_131277067_stddev=23.400244198969986	0.0
Nuc-5362629-chr9_132241489_132241653_stddev=23.103366758019394	41.0
Nuc-5363847-chr9_132669847_132670011_stddev=17.252651368376814	7.0
Nuc-5365611-chr9_133163763_133163927_stddev=23.473213148974516	4.0
Nuc-5366240-chr9_133347960_133348124_stddev=20.555673530334982	7.0
Nuc-5372270-chr9_135479069_135479233_stddev=14.624940645653535	1.0
Nuc-5373824-chr9_135961026_135961190_stddev=20.151674868357716	3.0
Nuc-5376822-chr9_136791364_136791528_stddev=13.121229617176382	2.0
Nuc-5377096-chr9_136866139_136866303_stddev=18.703089465528294	2.0
Nuc-5377394-chr9_136944414_136944578_stddev=16.30950643030009	0.0
Nuc-5378247-chr9_137168402_137168566_stddev=11.42244379378696	0.0
Nuc-5379585-chr9_137551468_137551632_stddev=14.93619241138785	1.0
Nuc-5379791-chr9_137605720_137605884_stddev=18.89338508579127	1.0
Nuc-5200762-chr9_15552914_15553078_stddev=17.994597954818428	13.0
Nuc-5202012-chr9_19049420_19049584_stddev=9.184735978785673	1.0
Nuc-5202505-chr9_19230443_19230607_stddev=15.351660150868215	0.0
Nuc-5204017-chr9_26946988_26947152_stddev=16.78023804625217	6.0
Nuc-5204033-chr9_26956443_26956607_stddev=21.982947936980608	38.0
Nuc-5187778-chr9_28890_29054_stddev=15.121951219512196	21.0
Nuc-5205145-chr9_32552392_32552556_stddev=21.98930221186443	30.0
Nuc-5206465-chr9_33265032_33265196_stddev=17.26267650163207	48.0
Nuc-5209477-chr9_34457831_34457995_stddev=17.957942885124858	46.0
Nuc-5209880-chr9_34637749_34637913_stddev=24.25712603061843	1.0
Nuc-5209881-chr9_34637951_34638115_stddev=21.434639884594482	53.0
Nuc-5210744-chr9_35079806_35079970_stddev=22.855182672645608	11.0
Nuc-5213114-chr9_36190947_36191111_stddev=21.091689714197866	10.0
Nuc-5214922-chr9_37120584_37120748_stddev=24.354237596132812	4.0
Nuc-5216175-chr9_37422693_37422857_stddev=17.888696516496474	13.0
Nuc-5216431-chr9_37485987_37486151_stddev=21.30298510808369	131.0
Nuc-5218040-chr9_37903964_37904128_stddev=22.088458524759034	6.0
Nuc-5194893-chr9_6008249_6008413_stddev=12.371974132879387	0.0
Nuc-5195347-chr9_6413181_6413345_stddev=15.018507101425081	2.0
Nuc-5238579-chr9_65737124_65737288_stddev=11.745795793425904	25.0
Nuc-5240175-chr9_66900774_66900938_stddev=15.396392073758348	11.0
Nuc-5258326-chr9_85941204_85941368_stddev=15.615272482216811	1.0
Nuc-5259546-chr9_86947322_86947486_stddev=6.613197033205649	2.0
Nuc-5260369-chr9_87497823_87497987_stddev=20.64215990229944	0.0
Nuc-5261012-chr9_87726099_87726263_stddev=19.506807928401706	5.0
Nuc-5261515-chr9_87974607_87974771_stddev=20.31146364877617	43.0
Nuc-5263621-chr9_89604941_89605105_stddev=22.071312990913277	10.0
Nuc-5267329-chr9_91950020_91950184_stddev=13.55701490230148	1.0
Nuc-5270647-chr9_93058683_93058847_stddev=16.377491328717664	1.0
Nuc-5281741-chr9_97013502_97013666_stddev=20.809853435332023	8.0
Nuc-5282880-chr9_97412088_97412252_stddev=19.86132478517539	0.0
Nuc-5283571-chr9_97632944_97633108_stddev=24.273631448002774	66.0
Nuc-5290555-chr9_99821754_99821918_stddev=21.03617915243482	10.0
Nuc-5554771-chrX_103310825_103310989_stddev=21.37660365150342	5.0
Nuc-5555638-chrX_104013666_104013830_stddev=21.81993068274966	22.0
Nuc-5555738-chrX_104112525_104112689_stddev=14.709866256674674	3.0
Nuc-5557318-chrX_107205644_107205808_stddev=17.913371790059205	28.0
Nuc-5557322-chrX_107206288_107206452_stddev=16.46170265558784	30.0
Nuc-5558282-chrX_107775816_107775980_stddev=22.90873195966988	9.0
Nuc-5487849-chrX_11427626_11427790_stddev=17.23131937336601	14.0
Nuc-5567467-chrX_118823642_118823806_stddev=14.936600711551693	12.0
Nuc-5569254-chrX_119758528_119758692_stddev=19.632259124590515	8.0
Nuc-5569648-chrX_119943533_119943697_stddev=18.331666590902202	16.0
Nuc-5571032-chrX_120629890_120630054_stddev=16.701422095139083	8.0
Nuc-5577055-chrX_129654930_129655094_stddev=21.933763926877667	9.0
Nuc-5577635-chrX_129906161_129906325_stddev=19.04452355799484	33.0
Nuc-5584573-chrX_135022382_135022546_stddev=18.575823655757393	6.0
Nuc-5584634-chrX_135051975_135052139_stddev=17.41088420755502	6.0
Nuc-5589721-chrX_139932890_139933054_stddev=12.664428731768394	18.0
Nuc-5592215-chrX_149540885_149541049_stddev=13.833293172632468	25.0
Nuc-5594337-chrX_150898495_150898659_stddev=14.353611369064097	3.0
Nuc-5597314-chrX_152831024_152831188_stddev=19.245778757951054	51.0
Nuc-5599724-chrX_153794192_153794356_stddev=19.962863080401668	12.0
Nuc-5599725-chrX_153794655_153794819_stddev=24.460347375906174	21.0
Nuc-5601924-chrX_154478651_154478815_stddev=15.657586020839867	0.0
Nuc-5602862-chrX_154805254_154805418_stddev=12.847661265771292	16.0
Nuc-5503120-chrX_30653497_30653661_stddev=23.829580124057767	17.0
Nuc-5506952-chrX_38804261_38804425_stddev=14.230880451050746	43.0
Nuc-5510869-chrX_40735676_40735840_stddev=25.837096500101467	11.0
Nuc-5516651-chrX_46447212_46447376_stddev=6.0711922222904455	7.0
Nuc-5516748-chrX_46545256_46545420_stddev=16.77583295781677	12.0
Nuc-5517653-chrX_47193828_47193992_stddev=22.296542388207545	5.0
Nuc-5517761-chrX_47232986_47233150_stddev=12.827744166772398	15.0
Nuc-5518455-chrX_47619726_47619890_stddev=14.372195378577345	0.0
Nuc-5520095-chrX_48539680_48539844_stddev=23.138447551684205	0.0
Nuc-5520844-chrX_48802124_48802288_stddev=17.923012442109165	61.0
Nuc-5521855-chrX_49171897_49172061_stddev=19.090680491607756	26.0
Nuc-5526232-chrX_52995338_52995502_stddev=16.183892218713606	39.0
Nuc-5526401-chrX_53094132_53094296_stddev=13.66228982511007	22.0
Nuc-5527128-chrX_53422285_53422449_stddev=17.53364113436144	19.0
Nuc-5530886-chrX_57121435_57121599_stddev=20.546018808734914	7.0
Nuc-5531103-chrX_57592643_57592807_stddev=21.673716801693242	2.0
Nuc-5536355-chrX_68433291_68433455_stddev=16.537835408541227	43.0
Nuc-5537155-chrX_68828966_68829130_stddev=19.98958061924595	11.0
Nuc-5538376-chrX_69616102_69616266_stddev=22.31027260902226	8.0
Nuc-5539319-chrX_70455137_70455301_stddev=18.419133063472813	5.0
Nuc-5540878-chrX_71366327_71366491_stddev=20.091506639703614	25.0
Nuc-5543740-chrX_73563181_73563345_stddev=16.33742833575255	9.0
Nuc-5546590-chrX_77895274_77895438_stddev=23.39203924415313	61.0
Nuc-5548036-chrX_80809599_80809763_stddev=11.671514523758487	175.0
Nuc-526081-chr1_209828009_209828173_stddev=13.036362227575541	137.0
Nuc-574223-chr1_228103141_228103305_stddev=10.86962689917808	16.0
Nuc-585628-chr1_231338289_231338453_stddev=18.49260207112419	98.0
Nuc-168344-chr1_45521717_45521881_stddev=21.507208094032105	16.0
Nuc-861737-chr10_110304758_110304922_stddev=21.010285546975133	9.0
Nuc-720855-chr10_43606441_43606605_stddev=11.044437144405988	8.0
Nuc-960654-chr11_33015902_33016066_stddev=22.169211147501265	19.0
Nuc-1026380-chr11_66288946_66289110_stddev=20.047166605006527	2.0
Nuc-912378-chr11_7020175_7020339_stddev=17.185454423727062	77.0
Nuc-1057767-chr11_75815221_75815385_stddev=23.000554562968297	9.0
Nuc-1245287-chr12_49069751_49069915_stddev=19.312661362145015	56.0
Nuc-1177959-chr12_7018309_7018473_stddev=24.422576076700473	29.0
Nuc-1449109-chr13_32586600_32586764_stddev=19.36017372160209	2.0
Nuc-1573060-chr14_60165176_60165340_stddev=19.088887690756664	16.0
Nuc-1832156-chr15_101724269_101724433_stddev=18.06543661249293	0.0
Nuc-1778929-chr15_78565523_78565687_stddev=20.599892124852392	4.0
Nuc-1980564-chr16_71358722_71358886_stddev=25.396966692102488	8.0
Nuc-2031173-chr16_89721273_89721437_stddev=18.12070638799713	0.0
Nuc-2109035-chr17_39200321_39200485_stddev=18.940579772809954	18.0
Nuc-2124278-chr17_44141988_44142152_stddev=18.43474979488466	14.0
Nuc-2044587-chr17_4939762_4939926_stddev=16.081582134560556	5.0
Nuc-2311005-chr18_35344265_35344429_stddev=16.07344255458536	22.0
Nuc-2360164-chr19_1479038_1479202_stddev=17.36690458890127	5.0
Nuc-2422656-chr19_22634333_22634497_stddev=16.67700359715713	61.0
Nuc-2488021-chr19_48462002_48462166_stddev=4.715334028465004	9.0
Nuc-2377188-chr19_6392982_6393146_stddev=22.24974203014865	101.0
Nuc-2551782-chr2_19901472_19901636_stddev=15.090636338166114	39.0
Nuc-2554726-chr2_20822913_20823077_stddev=17.83579422272963	93.0
Nuc-2924229-chr2_218672081_218672245_stddev=17.72856512533069	75.0
Nuc-2661466-chr2_70768035_70768199_stddev=14.850960252056542	30.0
Nuc-2662339-chr2_71068649_71068813_stddev=22.34576768279249	3.0
Nuc-2671448-chr2_74391677_74391841_stddev=20.177613701192623	1.0
Nuc-3012692-chr20_35277950_35278114_stddev=27.325583250865844	6.0
Nuc-2964781-chr20_3820554_3820718_stddev=8.262282137669288	37.0
Nuc-3067935-chr20_56392661_56392825_stddev=21.449009301130904	75.0
Nuc-3177296-chr21_45981769_45981933_stddev=23.314873650383213	2.0
Nuc-3218200-chr22_23768057_23768221_stddev=23.76232852920612	18.0
Nuc-3369199-chr3_40524972_40525136_stddev=24.945139807184887	53.0
Nuc-3397623-chr3_48847661_48847825_stddev=15.715584361923506	0.0
Nuc-3771828-chr4_112637169_112637333_stddev=16.299284237863535	119.0
Nuc-4427015-chr6_112087647_112087811_stddev=24.0762677063258	69.0
Nuc-4392589-chr6_89819592_89819756_stddev=17.059228703274282	17.0
Nuc-4392622-chr6_89829908_89830072_stddev=18.598924700100273	64.0
Nuc-4830644-chr7_124765668_124765832_stddev=11.605446589103943	1.0
Nuc-4912517-chr7_151341798_151341962_stddev=23.4296286782356	0.0
Nuc-5145794-chr8_125091856_125092020_stddev=19.920090361240835	75.0
Nuc-5600145-chrX_153934843_153935007_stddev=14.131171218267792	0.0
Nuc-5600145-chrX_153934843_153935007_stddev=14.131171218267792	0.0
Nuc-42176-chr1_12019500_12019664_stddev=19.45788721829788	5.0
Nuc-419532-chr1_169794727_169794891_stddev=22.272917191887693	103.0
Nuc-574136-chr1_228082719_228082883_stddev=18.840347069147917	1.0
Nuc-106954-chr1_28887162_28887326_stddev=21.192200805956894	6.0
Nuc-1127837-chr11_117328151_117328315_stddev=15.826272907018375	15.0
Nuc-978221-chr11_44309877_44310041_stddev=17.63841984406018	18.0
Nuc-1002801-chr11_59172142_59172306_stddev=23.67605447610635	0.0
Nuc-1259955-chr12_53321427_53321591_stddev=24.219339150540193	130.0
Nuc-1510582-chr13_100089113_100089277_stddev=10.658769863356653	2.0
Nuc-1597509-chr14_75069656_75069820_stddev=27.36520418341511	38.0
Nuc-1679484-chr15_40161082_40161246_stddev=22.170843599902135	103.0
Nuc-1736511-chr15_64151721_64151885_stddev=11.126202745917073	7.0
Nuc-1806066-chr15_89750658_89750822_stddev=22.350739485653616	1.0
Nuc-1869944-chr16_12803387_12803551_stddev=21.475292980929968	47.0
Nuc-1844677-chr16_3305236_3305400_stddev=22.503517602772014	42.0
Nuc-2010918-chr16_83808019_83808183_stddev=21.06561178793533	10.0
Nuc-2116241-chr17_41811791_41811955_stddev=25.565797464581465	0.0
Nuc-2294831-chr18_26090439_26090603_stddev=22.69422344513638	34.0
Nuc-2392880-chr19_11419143_11419307_stddev=23.67735804414456	43.0
Nuc-2394788-chr19_12163093_12163257_stddev=17.837112179062753	37.0
Nuc-2408154-chr19_16496421_16496585_stddev=20.89845836730972	47.0
Nuc-2408318-chr19_16542270_16542434_stddev=6.896053621859066	6.0
Nuc-2448213-chr19_35143280_35143444_stddev=24.14077172552966	16.0
Nuc-2452400-chr19_36418468_36418632_stddev=21.988406035909016	19.0
Nuc-2459833-chr19_39435781_39435945_stddev=23.765034388869125	49.0
Nuc-2462853-chr19_40444148_40444312_stddev=16.966810338458565	24.0
Nuc-2356839-chr19_489175_489339_stddev=16.437885558448603	0.0
Nuc-2507221-chr19_55655059_55655223_stddev=19.565530915362356	2.0
Nuc-2902981-chr2_200811917_200812081_stddev=25.29158751626656	1.0
Nuc-2926271-chr2_219498086_219498250_stddev=16.391901794619333	16.0
Nuc-2521178-chr2_3575326_3575490_stddev=18.16365512078829	11.0
Nuc-2985024-chr20_23350803_23350967_stddev=16.92010638264429	1.0
Nuc-3124099-chr21_29073478_29073642_stddev=20.598453735567052	62.0
Nuc-3774408-chr4_117085379_117085543_stddev=16.849826903166296	5.0
Nuc-3836396-chr4_165327712_165327876_stddev=19.643456534311486	8.0
Nuc-3744835-chr4_94207872_94208036_stddev=21.97717210539154	27.0
Nuc-4107065-chr5_138179166_138179330_stddev=16.852299546352718	97.0
Nuc-4187561-chr5_179023814_179023978_stddev=16.753109164172084	0.0
Nuc-3991522-chr5_69560264_69560428_stddev=21.30310358192492	20.0
Nuc-4401438-chr6_99425129_99425293_stddev=18.65121359577015	109.0
Nuc-4775371-chr7_103344600_103344764_stddev=20.642239239392765	19.0
Nuc-4883364-chr7_140398312_140398476_stddev=5.675812166553787	0.0
Nuc-4888152-chr7_141738374_141738538_stddev=20.962824237206206	57.0
Nuc-4906835-chr7_149838431_149838595_stddev=19.356817675758183	2.0
Nuc-5147014-chr8_125430365_125430529_stddev=21.748432792330007	20.0
Nuc-4990866-chr8_27837647_27837811_stddev=21.305331721503745	23.0
Nuc-5347818-chr9_128275538_128275702_stddev=25.568488407633787	24.0
Nuc-5553628-chrX_102516569_102516733_stddev=20.17879069097056	11.0
Nuc-5521513-chrX_49053463_49053627_stddev=20.45003867068845	7.0
Nuc-279041-chr1_100896120_100896284_stddev=14.319272022227157	60.0
Nuc-540835-chr1_214603242_214603406_stddev=21.149733437795284	24.0
Nuc-566141-chr1_225924088_225924252_stddev=19.275098229703158	34.0
Nuc-575631-chr1_228457704_228457868_stddev=17.1985464502091	21.0
Nuc-21276-chr1_6580012_6580176_stddev=24.39973235048922	2.0
Nuc-653428-chr10_11823375_11823539_stddev=20.215505600075073	2.0
Nuc-757715-chr10_60778492_60778656_stddev=14.440765709813116	57.0
Nuc-763613-chr10_62816536_62816700_stddev=20.359655094218947	1.0
Nuc-764484-chr10_63133352_63133516_stddev=23.46128936707086	96.0
Nuc-847249-chr10_99659514_99659678_stddev=20.91948852147203	2.0
Nuc-1024736-chr11_65858011_65858175_stddev=20.553752635585653	3.0
Nuc-1316774-chr12_89526082_89526246_stddev=14.856837603701752	111.0
Nuc-1438722-chr13_25287309_25287473_stddev=24.611263391266316	15.0
Nuc-1456186-chr13_41132634_41132798_stddev=17.607952748687172	22.0
Nuc-1538186-chr14_23969965_23970129_stddev=19.114421547907515	6.0
Nuc-1660017-chr15_29269638_29269802_stddev=11.516944039110376	9.0
Nuc-1674853-chr15_38252339_38252503_stddev=27.5524751862494	1.0
Nuc-1786467-chr15_81323975_81324139_stddev=14.97053516334413	24.0
Nuc-1920348-chr16_31073572_31073736_stddev=18.17151841846611	4.0
Nuc-1845201-chr16_3500995_3501159_stddev=20.294576183926754	88.0
Nuc-1849361-chr16_4801998_4802162_stddev=18.45806056984319	55.0
Nuc-1944720-chr16_53503044_53503208_stddev=20.028699132178698	4.0
Nuc-2064285-chr17_17281083_17281247_stddev=9.801856400136092	19.0
Nuc-2086184-chr17_29622700_29622864_stddev=12.725981977197304	26.0
Nuc-2051854-chr17_8383025_8383189_stddev=4.0276819911981905	40.0
Nuc-2051854-chr17_8383025_8383189_stddev=4.0276819911981905	40.0
Nuc-2420880-chr19_21082207_21082371_stddev=18.769646860871074	81.0
Nuc-2422236-chr19_21835984_21836148_stddev=20.66905601480653	79.0
Nuc-2423466-chr19_23758687_23758851_stddev=16.318923684887928	107.0
Nuc-2364922-chr19_2841500_2841664_stddev=18.56327438005867	3.0
Nuc-2510428-chr19_57578734_57578898_stddev=21.9260119492807	5.0
Nuc-2383163-chr19_8308153_8308317_stddev=17.927903453059486	6.0
Nuc-2770044-chr2_128091232_128091396_stddev=18.670332479066694	4.0
Nuc-2864251-chr2_176104524_176104688_stddev=15.248954463991883	43.0
Nuc-2571029-chr2_27663461_27663625_stddev=20.34205926153987	167.0
Nuc-3157499-chr21_39445888_39446052_stddev=17.736117854344844	166.0
Nuc-3223575-chr22_26483616_26483780_stddev=23.102543150051687	24.0
Nuc-3473318-chr3_128052446_128052610_stddev=14.71767644704829	2.0
Nuc-3531976-chr3_159988752_159988916_stddev=14.069026263391507	1.0
Nuc-3344770-chr3_31532635_31532799_stddev=15.260993434403769	37.0
Nuc-3375282-chr3_42600692_42600856_stddev=19.521671630915886	7.0
Nuc-3398126-chr3_49022118_49022282_stddev=26.957141910818365	3.0
Nuc-3728365-chr4_82430595_82430759_stddev=12.919871397311853	4.0
Nuc-4049297-chr5_102755323_102755487_stddev=13.158225142050462	0.0
Nuc-4132755-chr5_149551629_149551793_stddev=21.681389361111044	54.0
Nuc-4145090-chr5_154858272_154858436_stddev=21.827607391659868	95.0
Nuc-4007550-chr5_76716134_76716298_stddev=23.086264009958388	3.0
Nuc-4406663-chr6_104859689_104859853_stddev=19.309509130403672	3.0
Nuc-4791412-chr7_107563999_107564163_stddev=19.229767305333777	14.0
Nuc-4857768-chr7_133081885_133082049_stddev=18.63857372501916	46.0
Nuc-4684005-chr7_66628958_66629122_stddev=19.26737745283552	1.0
Nuc-4684005-chr7_66628958_66629122_stddev=19.26737745283552	1.0
Nuc-4979795-chr8_22668942_22669106_stddev=10.734727523323542	2.0
Nuc-4981641-chr8_23224943_23225107_stddev=22.389323513053625	55.0
Nuc-5336948-chr9_124853285_124853449_stddev=17.881360562204307	5.0
Nuc-5347172-chr9_128127974_128128138_stddev=21.269925298933757	48.0
Nuc-5356038-chr9_130444905_130445069_stddev=15.65691185671328	2.0
Nuc-5597607-chrX_152941851_152942015_stddev=21.791945504908202	6.0
Nuc-5496812-chrX_19343966_19344130_stddev=13.025615788386615	9.0
Nuc-289451-chr1_109282975_109283139_stddev=18.591151421792162	91.0
Nuc-54014-chr1_15524045_15524209_stddev=21.92456135325276	12.0
Nuc-382888-chr1_156705915_156706079_stddev=16.564843625018913	63.0
Nuc-465253-chr1_185317074_185317238_stddev=15.041089554949137	23.0
Nuc-157251-chr1_42682426_42682590_stddev=18.7794213613377	7.0
Nuc-932519-chr11_14520181_14520345_stddev=19.129754311020303	57.0
Nuc-949305-chr11_22192463_22192627_stddev=15.03196593929084	77.0
