	BNase_NoOverlap_midpoint_combined.cdt
Nuc-2374737-chr19_5680137_5680301_stddev=25.328676201776332	208.0
Nuc-2375119-chr19_5784603_5784767_stddev=14.488559878294971	32.0
Nuc-2375255-chr19_5823782_5823946_stddev=20.877132736088946	83.0
Nuc-2375355-chr19_5851857_5852021_stddev=20.634981684891372	65.0
Nuc-2375586-chr19_5913234_5913398_stddev=18.776462807343545	55.0
Nuc-2377139-chr19_6378778_6378942_stddev=24.616749887017985	41.0
Nuc-2377484-chr19_6481673_6481837_stddev=16.35656412828332	72.0
Nuc-2377912-chr19_6603949_6604113_stddev=11.725373128391267	154.0
Nuc-2378364-chr19_6730425_6730589_stddev=21.349473061413015	104.0
Nuc-2378387-chr19_6736510_6736674_stddev=14.852924796147054	98.0
Nuc-2378898-chr19_6891174_6891338_stddev=25.179356624028344	49.0
Nuc-2357455-chr19_695437_695601_stddev=16.950909513454825	62.0
Nuc-2380978-chr19_7669300_7669464_stddev=20.571521577170707	87.0
Nuc-2381000-chr19_7677003_7677167_stddev=19.03438184727028	73.0
Nuc-2381238-chr19_7763032_7763196_stddev=18.153787483607932	73.0
Nuc-2383913-chr19_8501770_8501934_stddev=17.799995610954515	74.0
Nuc-2357951-chr19_850581_850745_stddev=17.916128329552333	65.0
Nuc-2385246-chr19_8981215_8981379_stddev=19.607141556075938	34.0
Nuc-2385570-chr19_9116504_9116668_stddev=23.928038373593502	54.0
Nuc-2385711-chr19_9178948_9179112_stddev=23.87839012146546	69.0
Nuc-2514916-chr1_KI270713v1_random_34361_34525_stddev=27.657116620740542	460.0
Nuc-2719768-chr2_101002283_101002447_stddev=12.37633038178152	48.0
Nuc-2532615-chr2_10129497_10129661_stddev=16.77132504455149	87.0
Nuc-2733540-chr2_108288580_108288744_stddev=17.015306672435404	52.0
Nuc-2733786-chr2_108377838_108378002_stddev=13.547535358348922	64.0
Nuc-2535905-chr2_11133070_11133234_stddev=17.688578607360995	168.0
Nuc-2774122-chr2_130129188_130129352_stddev=16.834124720401736	55.0
Nuc-2784828-chr2_135530411_135530575_stddev=8.17554317295429	59.0
Nuc-2795230-chr2_144520055_144520219_stddev=17.10471948239516	43.0
Nuc-2806028-chr2_150487581_150487745_stddev=15.672238117736969	79.0
Nuc-2817833-chr2_157257750_157257914_stddev=21.73122826659862	244.0
Nuc-2818856-chr2_157629192_157629356_stddev=22.394660822020352	82.0
Nuc-2825261-chr2_159615094_159615258_stddev=27.545290986946494	151.0
Nuc-2830257-chr2_162318570_162318734_stddev=23.64000846023537	55.0
Nuc-2830258-chr2_162318842_162319006_stddev=16.89121710832658	139.0
Nuc-2517516-chr2_1653634_1653798_stddev=18.430047929038782	35.0
Nuc-2840329-chr2_169072690_169072854_stddev=7.3569694847810805	87.0
Nuc-2841856-chr2_169509572_169509736_stddev=14.710540438746634	131.0
Nuc-2845426-chr2_170407596_170407760_stddev=11.101097918674531	45.0
Nuc-2857605-chr2_173965740_173965904_stddev=21.78720034252754	125.0
Nuc-2859239-chr2_174395776_174395940_stddev=17.43803022015915	142.0
Nuc-2887153-chr2_187554288_187554452_stddev=14.1124058898545	194.0
Nuc-2890829-chr2_190359986_190360150_stddev=21.08843811718218	97.0
Nuc-2892397-chr2_191041732_191041896_stddev=15.890248582070704	46.0
Nuc-2897710-chr2_196926630_196926794_stddev=22.564106206293413	35.0
Nuc-2898784-chr2_197675978_197676142_stddev=18.172670426033243	230.0
Nuc-2902413-chr2_200510190_200510354_stddev=20.09189414978876	79.0
Nuc-2902532-chr2_200586440_200586604_stddev=10.884494578170465	47.0
Nuc-2911479-chr2_206765833_206765997_stddev=18.277481405560565	134.0
Nuc-2555286-chr2_21123611_21123775_stddev=24.067931072745928	42.0
Nuc-2920246-chr2_216695390_216695554_stddev=20.124464783944855	53.0
Nuc-2923439-chr2_218356783_218356947_stddev=17.525053494925483	76.0
Nuc-2923551-chr2_218392986_218393150_stddev=21.521700531091867	104.0
Nuc-2923652-chr2_218422738_218422902_stddev=16.83923988783342	99.0
Nuc-2924123-chr2_218622795_218622959_stddev=21.678842732540456	88.0
Nuc-2925362-chr2_219171081_219171245_stddev=10.66796867053684	54.0
Nuc-2925505-chr2_219222598_219222762_stddev=14.22048600513436	51.0
Nuc-2925605-chr2_219252879_219253043_stddev=23.89793110524656	69.0
Nuc-2926039-chr2_219419962_219420126_stddev=21.847482692520895	56.0
Nuc-2926525-chr2_219571340_219571504_stddev=20.064479393528586	38.0
Nuc-2926526-chr2_219571573_219571737_stddev=23.97379935587089	83.0
Nuc-2934623-chr2_230219803_230219967_stddev=16.09533124191486	121.0
Nuc-2934799-chr2_230342112_230342276_stddev=20.059910268991732	99.0
Nuc-2940058-chr2_232868433_232868597_stddev=26.760771455413778	22.0
Nuc-2940135-chr2_232902009_232902173_stddev=9.60324019392529	29.0
Nuc-2941121-chr2_233331700_233331864_stddev=22.99407038188917	43.0
Nuc-2941892-chr2_233775584_233775748_stddev=19.84313483298443	34.0
Nuc-2559480-chr2_24182578_24182742_stddev=14.991580970664836	98.0
Nuc-2566547-chr2_26401300_26401464_stddev=13.205049539222992	71.0
Nuc-2568926-chr2_27082766_27082930_stddev=20.922496625687458	71.0
Nuc-2569684-chr2_27282070_27282234_stddev=22.219720437740904	94.0
Nuc-2570273-chr2_27441479_27441643_stddev=15.807483772247767	80.0
Nuc-2570473-chr2_27496299_27496463_stddev=22.23965098927066	99.0
Nuc-2570627-chr2_27537480_27537644_stddev=18.55505322007997	94.0
Nuc-2574472-chr2_28782912_28783076_stddev=13.012814197295423	45.0
Nuc-2574949-chr2_28955596_28955760_stddev=21.76326926720055	125.0
Nuc-2595616-chr2_39228716_39228880_stddev=21.240030341053867	75.0
Nuc-2606529-chr2_44361342_44361506_stddev=15.745149164813338	94.0
Nuc-2607849-chr2_44942057_44942221_stddev=5.7566386797235145	21.0
Nuc-2614225-chr2_47155691_47155855_stddev=20.987853630135696	55.0
Nuc-2618503-chr2_48529842_48530006_stddev=19.122412679017955	181.0
Nuc-2620123-chr2_51033089_51033253_stddev=13.379088160259652	34.0
Nuc-2634941-chr2_61017283_61017447_stddev=17.123351998760914	93.0
Nuc-2653717-chr2_68365159_68365323_stddev=18.12089578098515	88.0
Nuc-2655021-chr2_68774777_68774941_stddev=21.2357876634221	81.0
Nuc-2658803-chr2_69962808_69962972_stddev=18.161969685503355	78.0
Nuc-2662131-chr2_70995400_70995564_stddev=18.943205677031386	147.0
Nuc-2671332-chr2_74363243_74363407_stddev=21.669333169250965	60.0
Nuc-2671935-chr2_74525970_74526134_stddev=23.77673933350268	62.0
Nuc-2672139-chr2_74576282_74576446_stddev=19.206073619792488	158.0
Nuc-2683522-chr2_84882206_84882370_stddev=18.55383782291911	23.0
Nuc-2706689-chr2_96146387_96146551_stddev=12.741009902410928	87.0
Nuc-2708334-chr2_96642654_96642818_stddev=18.347751905887545	88.0
Nuc-2709260-chr2_96895097_96895261_stddev=24.798878502867826	79.0
Nuc-2711769-chr2_97713590_97713754_stddev=16.00258243622257	68.0
Nuc-2958953-chr20_1378702_1378866_stddev=20.247468977627793	66.0
Nuc-2977290-chr20_17558676_17558840_stddev=18.190974812413167	101.0
Nuc-2984340-chr20_23086391_23086555_stddev=16.630152839678725	71.0
Nuc-2962584-chr20_3044164_3044328_stddev=25.516865011203862	97.0
Nuc-3000854-chr20_31880203_31880367_stddev=15.103560475153861	149.0
Nuc-3003725-chr20_32673942_32674106_stddev=21.198951756055195	126.0
Nuc-3004434-chr20_32859409_32859573_stddev=28.595726176398383	61.0
Nuc-3008886-chr20_34195050_34195214_stddev=20.383135730849222	34.0
Nuc-3010113-chr20_34546622_34546786_stddev=8.920949127381757	40.0
Nuc-3011632-chr20_34980034_34980198_stddev=16.564646087375365	123.0
Nuc-3012696-chr20_35279074_35279238_stddev=18.991632335463745	90.0
Nuc-3019451-chr20_37178771_37178935_stddev=12.418993717635809	120.0
Nuc-2964642-chr20_3782164_3782328_stddev=18.688641098872036	61.0
Nuc-2966177-chr20_4222380_4222544_stddev=17.14021535012092	97.0
Nuc-3034649-chr20_43558717_43558881_stddev=21.964411536612126	118.0
Nuc-3041215-chr20_45833589_45833753_stddev=17.8637674316257	95.0
Nuc-3041436-chr20_45887608_45887772_stddev=16.019100169732813	116.0
Nuc-3071189-chr20_57561063_57561227_stddev=20.945405224058092	116.0
Nuc-3074221-chr20_58651306_58651470_stddev=20.71648714203672	140.0
Nuc-3084514-chr20_62962546_62962710_stddev=22.818121453499774	37.0
Nuc-3086805-chr20_63736834_63736998_stddev=7.539197979416611	53.0
Nuc-2956966-chr20_676621_676785_stddev=9.652644907951823	50.0
Nuc-2971125-chr20_8114717_8114881_stddev=8.931030937661532	100.0
Nuc-3124132-chr21_29081159_29081323_stddev=18.672618098881223	52.0
Nuc-3133230-chr21_32587210_32587374_stddev=17.216403133697927	126.0
Nuc-3134030-chr21_32813612_32813776_stddev=11.556427666375248	39.0
Nuc-3139823-chr21_34511988_34512152_stddev=20.4734812599872	83.0
Nuc-3153177-chr21_38156909_38157073_stddev=25.47233487040401	64.0
Nuc-3164879-chr21_42389229_42389393_stddev=22.929529293238176	92.0
Nuc-3172361-chr21_44573706_44573870_stddev=18.383688422076784	56.0
Nuc-3172408-chr21_44592675_44592839_stddev=15.33916555748715	66.0
Nuc-3174130-chr21_45073734_45073898_stddev=19.857303442310588	156.0
Nuc-3177804-chr21_46137575_46137739_stddev=16.09309337327624	66.0
Nuc-3192204-chr22_17198664_17198828_stddev=11.359020369292415	84.0
Nuc-3193431-chr22_17563084_17563248_stddev=19.2844496939892	88.0
Nuc-3200356-chr22_19479022_19479186_stddev=18.754423346552898	207.0
Nuc-3204675-chr22_20446857_20447021_stddev=16.56114332236891	119.0
Nuc-3208902-chr22_21416374_21416538_stddev=18.327175218072284	606.0
Nuc-3217743-chr22_23580648_23580812_stddev=17.729384246488575	85.0
Nuc-3218921-chr22_24181515_24181679_stddev=16.991610981599127	51.0
Nuc-3220064-chr22_24607503_24607667_stddev=13.786194964442984	61.0
Nuc-3224007-chr22_26617884_26618048_stddev=17.867996701433796	140.0
Nuc-3224024-chr22_26621927_26622091_stddev=23.700263275728453	99.0
Nuc-3234189-chr22_31127756_31127920_stddev=15.053812937279952	76.0
Nuc-3234228-chr22_31140334_31140498_stddev=21.690894355908508	49.0
Nuc-3235806-chr22_31754781_31754945_stddev=20.00999750124922	149.0
Nuc-3239609-chr22_35066000_35066164_stddev=16.932020946518268	84.0
Nuc-3240158-chr22_35300265_35300429_stddev=12.82447348554341	97.0
Nuc-3241072-chr22_35648408_35648572_stddev=13.920211593554455	166.0
Nuc-3244219-chr22_37149840_37150004_stddev=22.4860199624122	66.0
Nuc-3245719-chr22_37675632_37675796_stddev=14.79615747389972	122.0
Nuc-3246186-chr22_37822696_37822860_stddev=10.499757042864548	34.0
Nuc-3249414-chr22_39014483_39014647_stddev=21.397196077991154	118.0
Nuc-3250976-chr22_39504142_39504306_stddev=12.51285053740468	44.0
Nuc-3252133-chr22_39900949_39901113_stddev=21.318354116165306	45.0
Nuc-3252355-chr22_39959694_39959858_stddev=17.756598390159468	99.0
Nuc-3256698-chr22_41560713_41560877_stddev=18.107139810326938	52.0
Nuc-3272654-chr22_50085558_50085722_stddev=16.474728121175982	65.0
Nuc-3272800-chr22_50147007_50147171_stddev=17.80206674088471	96.0
Nuc-3273904-chr22_50578823_50578987_stddev=18.690461025168247	42.0
Nuc-3445512-chr3_100653743_100653907_stddev=20.02483664952692	46.0
Nuc-3446420-chr3_101319809_101319973_stddev=14.110352256989426	68.0
Nuc-3298222-chr3_10293238_10293402_stddev=19.00369690001839	119.0
Nuc-3453561-chr3_111999281_111999445_stddev=19.624955767819934	26.0
Nuc-3454618-chr3_112973944_112974108_stddev=14.863265679744362	37.0
Nuc-3460127-chr3_119600978_119601142_stddev=14.160883173195732	32.0
Nuc-3460291-chr3_119665032_119665196_stddev=21.764420506873137	80.0
Nuc-3462679-chr3_121660758_121660922_stddev=13.360389215887388	61.0
Nuc-3463477-chr3_122325208_122325372_stddev=19.060724658044773	46.0
Nuc-3464818-chr3_123028505_123028669_stddev=17.50582993270108	98.0
Nuc-3465568-chr3_123415393_123415557_stddev=20.957629212824198	32.0
Nuc-3468380-chr3_125154775_125154939_stddev=19.345410255644197	62.0
Nuc-3469740-chr3_125936963_125937127_stddev=18.54030893905373	54.0
Nuc-3477228-chr3_129429163_129429327_stddev=17.611967689491472	128.0
Nuc-3482500-chr3_132723041_132723205_stddev=23.434437042655254	91.0
Nuc-3483822-chr3_133748524_133748688_stddev=6.512155040023704	58.0
Nuc-3486520-chr3_135965754_135965918_stddev=20.08918723559971	110.0
Nuc-3488419-chr3_136957843_136958007_stddev=20.0977204515074	39.0
Nuc-3497154-chr3_141368367_141368531_stddev=24.30419464929913	49.0
Nuc-3311215-chr3_14137248_14137412_stddev=21.69171759554549	44.0
Nuc-3313394-chr3_14674849_14675013_stddev=20.98930728747767	77.0
Nuc-3509188-chr3_149576319_149576483_stddev=13.666583706401598	58.0
Nuc-3521402-chr3_155080288_155080452_stddev=23.40155236434593	57.0
Nuc-3524763-chr3_156455914_156456078_stddev=21.564492661548986	77.0
Nuc-3549483-chr3_172523322_172523486_stddev=23.32596389682485	158.0
Nuc-3561253-chr3_180870461_180870625_stddev=15.539603918402438	79.0
Nuc-3566633-chr3_183555540_183555704_stddev=14.624332249713147	97.0
Nuc-3325094-chr3_18425298_18425462_stddev=13.486618882762604	30.0
Nuc-3569376-chr3_184378019_184378183_stddev=22.08978672794173	193.0
Nuc-3575823-chr3_186581099_186581263_stddev=13.183702059740277	55.0
Nuc-3575927-chr3_186612758_186612922_stddev=18.164181787242715	49.0
Nuc-3578312-chr3_187368213_187368377_stddev=18.648324321504063	87.0
Nuc-3581226-chr3_189987628_189987792_stddev=18.119204054139782	54.0
Nuc-3582354-chr3_191461148_191461312_stddev=17.32426556927574	55.0
Nuc-3584566-chr3_193593783_193593947_stddev=19.791773182670767	216.0
Nuc-3597659-chr3_197516576_197516740_stddev=9.585629740432351	55.0
Nuc-3332631-chr3_23805940_23806104_stddev=12.699027762882046	86.0
Nuc-3336845-chr3_25428172_25428336_stddev=22.00931620927829	63.0
Nuc-3349222-chr3_32951585_32951749_stddev=22.525973921981414	128.0
Nuc-3361980-chr3_38275350_38275514_stddev=18.040816898914674	53.0
Nuc-3365052-chr3_39192494_39192658_stddev=6.446008098673416	43.0
Nuc-3375926-chr3_42773511_42773675_stddev=16.33295540001152	74.0
Nuc-3383121-chr3_44874447_44874611_stddev=11.489125293076057	60.0
Nuc-3387380-chr3_45940416_45940580_stddev=9.251066004640883	80.0
Nuc-3389458-chr3_46566380_46566544_stddev=12.744100529212595	127.0
Nuc-3396892-chr3_48564140_48564304_stddev=23.595550427993835	42.0
Nuc-3396982-chr3_48596165_48596329_stddev=18.42481812400042	96.0
Nuc-3398771-chr3_49274261_49274425_stddev=20.61350689879494	37.0
Nuc-3399176-chr3_49422660_49422824_stddev=27.383873780199117	36.0
Nuc-3401511-chr3_50278328_50278492_stddev=14.231846491072567	57.0
Nuc-3401579-chr3_50300260_50300424_stddev=24.313720916251967	96.0
Nuc-3401718-chr3_50341907_50342071_stddev=18.467856626990088	53.0
Nuc-3403644-chr3_51541487_51541651_stddev=9.117883661746065	54.0
Nuc-3404034-chr3_51706318_51706482_stddev=11.832159566199232	48.0
Nuc-3405291-chr3_52230511_52230675_stddev=19.970386238894136	29.0
Nuc-3405569-chr3_52317090_52317254_stddev=18.637579644363697	57.0
Nuc-3406211-chr3_52534936_52535100_stddev=17.244564360980533	69.0
Nuc-3406873-chr3_52832378_52832542_stddev=19.0841316709106	63.0
Nuc-3406880-chr3_52835091_52835255_stddev=15.945058731757111	33.0
Nuc-3407455-chr3_53099377_53099541_stddev=11.426091000668407	62.0
Nuc-3422042-chr3_65532767_65532931_stddev=24.051241594192643	101.0
Nuc-3438935-chr3_87991210_87991374_stddev=13.415647276100199	43.0
Nuc-3294485-chr3_9363322_9363486_stddev=16.134756184797375	275.0
Nuc-3441313-chr3_94062550_94062714_stddev=11.48428878463481	65.0
Nuc-3296199-chr3_9807792_9807956_stddev=21.614520582238228	57.0
Nuc-3442897-chr3_98585433_98585597_stddev=14.9897924452282	50.0
Nuc-3296616-chr3_9903560_9903724_stddev=20.497499847542382	141.0
Nuc-3755086-chr4_102431088_102431252_stddev=23.435212473401414	83.0
Nuc-3760702-chr4_106316599_106316763_stddev=20.13077901843068	192.0
Nuc-3772245-chr4_112817971_112818135_stddev=21.921008467789477	35.0
Nuc-3776181-chr4_118850693_118850857_stddev=17.542034992832235	132.0
Nuc-3783826-chr4_123396821_123396985_stddev=14.236104336041748	50.0
Nuc-3789668-chr4_127632997_127633161_stddev=22.69506809204324	179.0
Nuc-3789891-chr4_127729410_127729574_stddev=24.198829172778865	21.0
Nuc-3795690-chr4_133149289_133149453_stddev=11.376667852608312	49.0
Nuc-3632161-chr4_13544896_13545060_stddev=20.303814862216992	32.0
Nuc-3802574-chr4_139666714_139666878_stddev=16.787993766197246	49.0
Nuc-3803604-chr4_140154025_140154189_stddev=19.439364415764445	41.0
Nuc-3809224-chr4_144018390_144018554_stddev=25.953034504658604	84.0
Nuc-3813450-chr4_146521727_146521891_stddev=21.659813018583517	166.0
Nuc-3824101-chr4_153204294_153204458_stddev=16.232045155827667	64.0
Nuc-3827417-chr4_154612596_154612760_stddev=21.19289713297568	45.0
Nuc-3835591-chr4_164977566_164977730_stddev=18.810901094843917	38.0
Nuc-3637162-chr4_16898525_16898689_stddev=15.266037570836344	44.0
Nuc-3860661-chr4_185470947_185471111_stddev=13.945146832550956	129.0
Nuc-3865757-chr4_190027177_190027341_stddev=5.580223014261069	29.0
Nuc-3644824-chr4_24795501_24795665_stddev=20.93707503714669	83.0
Nuc-3645636-chr4_25160681_25160845_stddev=25.260855158210692	122.0
Nuc-3610058-chr4_3244480_3244644_stddev=23.86184726927152	39.0
Nuc-3659702-chr4_38805506_38805670_stddev=17.22870866800132	81.0
Nuc-3663970-chr4_40197015_40197179_stddev=5.409663835204306	130.0
Nuc-3672852-chr4_48133474_48133638_stddev=12.074869321686363	62.0
Nuc-3690137-chr4_55592405_55592569_stddev=19.76124152644936	62.0
Nuc-3692598-chr4_56504801_56504965_stddev=26.650222794565902	35.0
Nuc-3698607-chr4_67558604_67558768_stddev=10.457503287113994	45.0
Nuc-3699874-chr4_68129786_68129950_stddev=13.647344063956181	92.0
Nuc-3704925-chr4_72039018_72039182_stddev=15.359634349389271	41.0
Nuc-3707804-chr4_73431026_73431190_stddev=2.8674417556808756	43.0
Nuc-3709179-chr4_73988064_73988228_stddev=21.08103413023185	90.0
Nuc-3712670-chr4_75555939_75556103_stddev=15.917266568101446	33.0
Nuc-3714037-chr4_76041246_76041410_stddev=14.26826315054966	56.0
Nuc-3714227-chr4_76106436_76106600_stddev=17.48729697682165	59.0
Nuc-3714643-chr4_76256337_76256501_stddev=21.997011435891164	131.0
Nuc-3623018-chr4_8199161_8199325_stddev=27.639073199854927	17.0
Nuc-3624423-chr4_8601391_8601555_stddev=26.20061492068883	36.0
Nuc-3740477-chr4_88521472_88521636_stddev=25.464681423493207	62.0
Nuc-3745194-chr4_94342750_94342914_stddev=22.577297778963718	65.0
Nuc-3602628-chr4_992564_992728_stddev=16.080430557468922	112.0
Nuc-3752304-chr4_99654627_99654791_stddev=18.194504664870653	47.0
Nuc-3752622-chr4_99816826_99816990_stddev=21.753371777116975	131.0
Nuc-4049901-chr5_103119643_103119807_stddev=21.25096011443069	106.0
Nuc-4060961-chr5_112206010_112206174_stddev=23.803558032361465	52.0
Nuc-4065022-chr5_114433366_114433530_stddev=27.896309462591155	52.0
Nuc-4066547-chr5_115626589_115626753_stddev=19.480358697929564	72.0
Nuc-4067311-chr5_116022674_116022838_stddev=17.78791724739015	51.0
Nuc-4074604-chr5_122129456_122129620_stddev=20.378516889540414	63.0
Nuc-4074605-chr5_122129584_122129748_stddev=19.512415919101354	133.0
Nuc-4082503-chr5_127073284_127073448_stddev=24.417662095749915	37.0
Nuc-4083718-chr5_127739540_127739704_stddev=25.029064737473778	91.0
Nuc-4089774-chr5_132073685_132073849_stddev=21.276454121869087	54.0
Nuc-4091953-chr5_132675238_132675402_stddev=11.606990230986765	126.0
Nuc-4099216-chr5_134967418_134967582_stddev=20.64292076027016	63.0
Nuc-4106089-chr5_137867701_137867865_stddev=18.463206655399816	51.0
Nuc-4107392-chr5_138275536_138275700_stddev=11.7983049630021	38.0
Nuc-4111254-chr5_139385309_139385473_stddev=13.770026737941956	158.0
Nuc-4111461-chr5_139439348_139439512_stddev=10.616765442702826	309.0
Nuc-4113805-chr5_140126583_140126747_stddev=18.17922921908407	62.0
Nuc-4115262-chr5_140529206_140529370_stddev=18.295747456717912	53.0
Nuc-4115844-chr5_140700334_140700498_stddev=24.662161750791885	28.0
Nuc-4116082-chr5_140841189_140841353_stddev=10.561771651014013	26.0
Nuc-4116455-chr5_141223342_141223506_stddev=14.063348739819324	39.0
Nuc-4116455-chr5_141223342_141223506_stddev=14.063348739819324	39.0
Nuc-4116670-chr5_141370225_141370389_stddev=26.45675717090059	69.0
Nuc-4126694-chr5_146202628_146202792_stddev=16.00771418973511	91.0
Nuc-4131178-chr5_149063016_149063180_stddev=11.878638003421374	71.0
Nuc-4131682-chr5_149272244_149272408_stddev=15.49142908191494	56.0
Nuc-4134830-chr5_150115431_150115595_stddev=23.292383892429097	94.0
Nuc-4139425-chr5_151568617_151568781_stddev=17.53902175010389	62.0
Nuc-4147188-chr5_157143266_157143430_stddev=19.13870242611958	121.0
Nuc-4147189-chr5_157143461_157143625_stddev=19.677649162011452	76.0
Nuc-4153255-chr5_160188241_160188405_stddev=19.652537297311564	80.0
Nuc-4153822-chr5_160345295_160345459_stddev=11.216344405732873	172.0
Nuc-3901551-chr5_16508714_16508878_stddev=24.934915279583365	32.0
Nuc-4160367-chr5_168528332_168528496_stddev=17.861068038594166	54.0
Nuc-4164401-chr5_170297614_170297778_stddev=14.11281678592676	109.0
Nuc-4174087-chr5_173973413_173973577_stddev=13.633025159516137	264.0
Nuc-3903919-chr5_17517611_17517775_stddev=15.429805212279541	425.0
Nuc-4178056-chr5_175878841_175879005_stddev=20.262603470808106	207.0
Nuc-4181352-chr5_176899440_176899604_stddev=21.037004433986212	86.0
Nuc-4181795-chr5_177021856_177022020_stddev=24.209014620361746	154.0
Nuc-4193579-chr5_181131592_181131756_stddev=18.712753933168514	136.0
Nuc-4193629-chr5_181146763_181146927_stddev=13.84035966135113	91.0
Nuc-3922577-chr5_33984599_33984763_stddev=20.800596624726857	87.0
Nuc-3922761-chr5_34043713_34043877_stddev=21.268741735232013	44.0
Nuc-3940991-chr5_40841038_40841202_stddev=17.37255178595118	125.0
Nuc-3868129-chr5_422680_422844_stddev=20.33595388488485	27.0
Nuc-3944618-chr5_42756675_42756839_stddev=26.9958674523367	73.0
Nuc-3944773-chr5_42811867_42812031_stddev=19.61569550650911	104.0
Nuc-3965454-chr5_55173636_55173800_stddev=23.94930397731283	168.0
Nuc-3967966-chr5_56116965_56117129_stddev=16.0932931011722	88.0
Nuc-3982740-chr5_65481839_65482003_stddev=6.576473218982953	52.0
Nuc-3983111-chr5_65624727_65624891_stddev=15.32558744019765	149.0
Nuc-3986314-chr5_67004689_67004853_stddev=12.892719737209145	92.0
Nuc-3997195-chr5_72508368_72508532_stddev=14.146464186488151	61.0
Nuc-4007259-chr5_76623237_76623401_stddev=16.61524379991495	110.0
Nuc-4007991-chr5_76850095_76850259_stddev=16.41005789142744	81.0
Nuc-4008467-chr5_77031502_77031666_stddev=25.253038952398597	64.0
Nuc-4019279-chr5_81232619_81232783_stddev=16.312265323982444	56.0
Nuc-4025268-chr5_83471416_83471580_stddev=22.873781422038856	60.0
Nuc-3869392-chr5_851181_851345_stddev=22.65105195300835	107.0
Nuc-4038278-chr5_93583029_93583193_stddev=10.888321980707383	33.0
Nuc-4040380-chr5_95392714_95392878_stddev=21.545816814923086	17.0
Nuc-4041701-chr5_95822559_95822723_stddev=19.0358503881492	247.0
Nuc-4043808-chr5_96742042_96742206_stddev=23.345235059857504	40.0
Nuc-4225520-chr6_10521279_10521443_stddev=17.929553873681527	206.0
Nuc-4409878-chr6_106098838_106099002_stddev=21.968089101592568	95.0
Nuc-4420552-chr6_109690940_109691104_stddev=16.430158653484902	141.0
Nuc-4425631-chr6_111605830_111605994_stddev=22.776303475322766	70.0
Nuc-4431047-chr6_116060703_116060867_stddev=19.390719429665317	77.0
Nuc-4432112-chr6_116512219_116512383_stddev=22.16208236463447	116.0
Nuc-4435546-chr6_118548240_118548404_stddev=10.5133539959852	67.0
Nuc-4450149-chr6_129490714_129490878_stddev=25.67532321553562	44.0
Nuc-4454268-chr6_131573087_131573251_stddev=16.605721905415614	43.0
Nuc-4454437-chr6_131637182_131637346_stddev=22.19609575278199	82.0
Nuc-4458229-chr6_134052305_134052469_stddev=18.648636043892804	89.0
Nuc-4460924-chr6_134950713_134950877_stddev=20.600996132873448	104.0
Nuc-4485706-chr6_143857874_143858038_stddev=23.099272475315946	68.0
Nuc-4485729-chr6_143864582_143864746_stddev=20.09197601033806	54.0
Nuc-4497273-chr6_148272167_148272331_stddev=13.531855420122959	68.0
Nuc-4500532-chr6_149400270_149400434_stddev=13.841598309082661	108.0
Nuc-4500834-chr6_149482177_149482341_stddev=17.913953282908334	61.0
Nuc-4507716-chr6_151391539_151391703_stddev=2.5	51.0
Nuc-4509615-chr6_152301740_152301904_stddev=14.730919862656235	98.0
Nuc-4514157-chr6_154834266_154834430_stddev=26.180909075125715	68.0
Nuc-4526005-chr6_158650035_158650199_stddev=14.840425436853703	84.0
Nuc-4549589-chr6_167996927_167997091_stddev=20.99142682144308	52.0
Nuc-4553994-chr6_169661179_169661343_stddev=8.982977098435708	39.0
Nuc-4260285-chr6_21593664_21593828_stddev=21.97444044925493	44.0
Nuc-4268127-chr6_25726759_25726923_stddev=10.873426550939575	69.0
Nuc-4268807-chr6_25962798_25962962_stddev=24.311314238436392	92.0
Nuc-4269022-chr6_26018297_26018461_stddev=26.447766918966902	30.0
Nuc-4269121-chr6_26043551_26043715_stddev=23.894298483110987	50.0
Nuc-4269290-chr6_26087796_26087960_stddev=17.63263231120703	147.0
Nuc-4269436-chr6_26123791_26123955_stddev=19.124994956829802	82.0
Nuc-4269577-chr6_26158114_26158278_stddev=17.014395946418066	109.0
Nuc-4269830-chr6_26216531_26216695_stddev=12.6464854307432	71.0
Nuc-4269858-chr6_26223153_26223317_stddev=20.458728132186117	65.0
Nuc-4269905-chr6_26234847_26235011_stddev=19.00945488434637	146.0
Nuc-4269951-chr6_26247743_26247907_stddev=12.906716597699562	35.0
Nuc-4275826-chr6_27815261_27815425_stddev=23.824567152416428	67.0
Nuc-4275889-chr6_27830863_27831027_stddev=20.55188957953152	94.0
Nuc-4276377-chr6_27957895_27958059_stddev=23.168416221314775	60.0
Nuc-4277461-chr6_28267133_28267297_stddev=18.55106588459395	211.0
Nuc-4278451-chr6_28525576_28525740_stddev=21.116107595861507	53.0
Nuc-4280431-chr6_31706891_31707055_stddev=12.277776739006642	57.0
Nuc-4280446-chr6_31713980_31714144_stddev=22.314084506135103	29.0
Nuc-4280446-chr6_31713980_31714144_stddev=22.314084506135103	29.0
Nuc-4280492-chr6_31736378_31736542_stddev=13.06498670305563	48.0
Nuc-4280546-chr6_31764045_31764209_stddev=20.19925741209315	26.0
Nuc-4280574-chr6_31777081_31777245_stddev=17.587874611030557	37.0
Nuc-4280851-chr6_31973051_31973215_stddev=17.739542215758874	78.0
Nuc-4280925-chr6_32045800_32045964_stddev=8.035634920242991	24.0
