accession	dataset	biosample_name	target_name	assay_term_name	assembly	output_type	file_format	file_format_type	derived_from
ENCFF630ANY	/experiments/ENCSR024CNP/	K562	EGR1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF255VCC/|/files/ENCFF637AOG/|/files/ENCFF782FAJ/|/files/ENCFF001TDO/
ENCFF025HHM	/experiments/ENCSR000ATJ/	K562	HDAC6	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF676RZD/|/files/ENCFF322OPC/|/files/ENCFF001TDO/|/files/ENCFF996VOF/
ENCFF459RDS	/experiments/ENCSR584GHV/	A549	NFE2L2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF332PXJ/|/files/ENCFF314DTI/|/files/ENCFF767PWR/
ENCFF939JEH	/experiments/ENCSR711SNW/	K562	NCOA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF171LJW/|/files/ENCFF001TDO/|/files/ENCFF970QSE/|/files/ENCFF109EWV/
ENCFF915CYM	/experiments/ENCSR431XGJ/	K562	PYGO2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF268LPT/|/files/ENCFF087NBH/|/files/ENCFF078LXS/
ENCFF749OIM	/experiments/ENCSR953DVM/	K562	E2F8	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF904YUH/|/files/ENCFF696BJA/|/files/ENCFF133EYO/
ENCFF197MBB	/experiments/ENCSR090JNM/	K562	HLTF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF717PAZ/|/files/ENCFF206YAY/|/files/ENCFF650AVU/
ENCFF054UMX	/experiments/ENCSR028NUR/	MCF-7	ZNF592	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF185LGF/|/files/ENCFF001TDO/|/files/ENCFF134UIM/|/files/ENCFF096FDT/
ENCFF824TGC	/experiments/ENCSR764YDL/	K562	NR0B1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF464TJB/|/files/ENCFF179GKP/|/files/ENCFF531NQP/
ENCFF752OUI	/experiments/ENCSR264CZJ/	K562	THRA	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF714MAA/|/files/ENCFF990DZB/|/files/ENCFF698FIR/
ENCFF421ZII	/experiments/ENCSR528PSI/	HepG2	HLF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF145MQM/|/files/ENCFF181DWV/|/files/ENCFF008WCZ/
ENCFF092GNI	/experiments/ENCSR130HEG/	K562	COPS2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF549VOY/|/files/ENCFF407JTS/|/files/ENCFF285LKH/
ENCFF171AYO	/experiments/ENCSR643VTW/	K562	SMARCA4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF622WDZ/|/files/ENCFF839WLX/|/files/ENCFF701XIM/
ENCFF951UWN	/experiments/ENCSR546IHU/	K562	ZNF184	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF121MTK/|/files/ENCFF580OVF/|/files/ENCFF722GTZ/
ENCFF510UKU	/experiments/ENCSR545FXC/	HepG2	ATF7	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF684VZS/|/files/ENCFF556TCV/|/files/ENCFF302KGG/
ENCFF074DBO	/experiments/ENCSR119ULQ/	K562	NCOA4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF347OPC/|/files/ENCFF048BXR/|/files/ENCFF605EKW/
ENCFF991AML	/experiments/ENCSR571BUF/	K562	ARHGAP35	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF287JMK/|/files/ENCFF001TDO/|/files/ENCFF565ONA/|/files/ENCFF113AKA/
ENCFF951GMF	/experiments/ENCSR711VWL/	K562	HDAC1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF149SPA/|/files/ENCFF080VTW/|/files/ENCFF001TDO/|/files/ENCFF084IPF/
ENCFF176KDC	/experiments/ENCSR116QUR/	MCF-7	CSDE1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF844JHU/|/files/ENCFF187DOI/|/files/ENCFF223FON/|/files/ENCFF001TDO/
ENCFF620BCJ	/experiments/ENCSR460XGV/	MCF-7	MNT	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF780FQB/|/files/ENCFF600NIF/|/files/ENCFF978HRR/
ENCFF120WQF	/experiments/ENCSR914NEI/	K562	MTA3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF326WKP/|/files/ENCFF001TDO/|/files/ENCFF883SHN/|/files/ENCFF976RBY/
ENCFF579KSC	/experiments/ENCSR241LIH/	K562	AFF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF447WIA/|/files/ENCFF929HKG/|/files/ENCFF824QXV/
ENCFF004UHW	/experiments/ENCSR502GAX/	HepG2	ZNF652	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF051JVE/|/files/ENCFF001TDO/|/files/ENCFF417ESW/|/files/ENCFF629UUW/
ENCFF766PSK	/experiments/ENCSR189TRZ/	K562	TCF12	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF777QKF/|/files/ENCFF627NVL/|/files/ENCFF436EEZ/
ENCFF403IWW	/experiments/ENCSR664AOA/	K562	TRIM25	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF593DEG/|/files/ENCFF276PTE/|/files/ENCFF211APQ/|/files/ENCFF001TDO/
ENCFF776ARH	/experiments/ENCSR720HUL/	K562	E2F1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF260KBY/|/files/ENCFF721GUV/|/files/ENCFF199PBO/
ENCFF897YHB	/experiments/ENCSR620DUQ/	MCF-7	CREB1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF783CTL/|/files/ENCFF001TDO/|/files/ENCFF790WFD/|/files/ENCFF040JIX/
ENCFF653JVV	/experiments/ENCSR681WHQ/	HepG2	ETS1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF338MRR/|/files/ENCFF001TDO/|/files/ENCFF749DAY/|/files/ENCFF771MQQ/
ENCFF865APC	/experiments/ENCSR000EWI/	K562	SETDB1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF269JVH/|/files/ENCFF001TDO/|/files/ENCFF463JJS/|/files/ENCFF445HEP/
ENCFF209ALR	/experiments/ENCSR801GJU/	HepG2	CBX2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF503JVU/|/files/ENCFF035VDP/|/files/ENCFF431PAS/|/files/ENCFF001TDO/
ENCFF120MVT	/experiments/ENCSR137ZMQ/	K562	REST	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF267RGU/|/files/ENCFF001TDO/|/files/ENCFF116JZW/|/files/ENCFF876EHZ/
ENCFF280UZU	/experiments/ENCSR972ZBV/	K562	ATF7	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF606UFV/|/files/ENCFF001TDO/|/files/ENCFF821WIF/|/files/ENCFF611BUY/
ENCFF918ZBN	/experiments/ENCSR407BEZ/	HepG2	ZHX2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF236YIV/|/files/ENCFF392FYA/|/files/ENCFF640NJO/
ENCFF235UZG	/experiments/ENCSR033VAZ/	K562	TARDBP	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF506ZBZ/|/files/ENCFF612BYB/|/files/ENCFF654INX/
ENCFF194MTJ	/experiments/ENCSR277OOQ/	A549	ZC3H11A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF088LGL/|/files/ENCFF001TDO/|/files/ENCFF279PWU/|/files/ENCFF087DBS/
ENCFF388JWW	/experiments/ENCSR038DJJ/	K562	SMAD1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF567MRG/|/files/ENCFF067UPX/|/files/ENCFF328DUA/
ENCFF460XQR	/experiments/ENCSR107GRP/	K562	MLLT1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF768MUF/|/files/ENCFF001TDO/|/files/ENCFF743CIS/|/files/ENCFF948VWR/
ENCFF260IOV	/experiments/ENCSR754ZHU/	K562	SNRNP70	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF769MWV/|/files/ENCFF622THV/|/files/ENCFF626AAZ/
ENCFF357FTD	/experiments/ENCSR029IBC/	HepG2	ARNT	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF409LKX/|/files/ENCFF078MLZ/|/files/ENCFF469FRK/
ENCFF541SHT	/experiments/ENCSR000EWH/	K562	NR2C2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF841ZNM/|/files/ENCFF001TDO/|/files/ENCFF342EJU/|/files/ENCFF837CQV/
ENCFF325SFZ	/experiments/ENCSR581CVA/	K562	HNRNPH1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF351HSM/|/files/ENCFF706ONY/|/files/ENCFF001TDO/|/files/ENCFF253KPM/
ENCFF353GUG	/experiments/ENCSR788RSW/	K562	SOX6	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF669NWG/|/files/ENCFF221LMV/|/files/ENCFF954EOW/
ENCFF542AWC	/experiments/ENCSR294JWV/	A549	ZFP36	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF848NAZ/|/files/ENCFF001TDO/|/files/ENCFF548GLK/|/files/ENCFF589LXR/
ENCFF571LPJ	/experiments/ENCSR325DER/	K562	NR3C1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF261TNJ/|/files/ENCFF037BJD/|/files/ENCFF793DLG/
ENCFF189LPZ	/experiments/ENCSR686EYO/	K562	KHSRP	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF082TJJ/|/files/ENCFF001TDO/|/files/ENCFF046POV/|/files/ENCFF010MIW/
ENCFF498RJI	/experiments/ENCSR337NQP/	MCF-7	ESRRA	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF111XHJ/|/files/ENCFF001TDO/|/files/ENCFF472FKC/|/files/ENCFF484BXC/
ENCFF202JYJ	/experiments/ENCSR697YLJ/	K562	CBFA2T3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF120JHT/|/files/ENCFF854ZPL/|/files/ENCFF001TDO/|/files/ENCFF885YBC/
ENCFF529GVQ	/experiments/ENCSR211LTF/	K562	EGR1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF920IJY/|/files/ENCFF001TDO/|/files/ENCFF634YJK/|/files/ENCFF343JJX/
ENCFF722GFS	/experiments/ENCSR000BLE/	HepG2	FOXA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF169DCU/|/files/ENCFF001TDO/|/files/ENCFF157CCV/|/files/ENCFF245NLP/
ENCFF405FNI	/experiments/ENCSR647PJW/	K562	SFPQ	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF078LFQ/|/files/ENCFF182ANX/|/files/ENCFF671NLJ/
ENCFF159SBO	/experiments/ENCSR000EHA/	K562	TBP	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF891AHH/|/files/ENCFF001TDO/|/files/ENCFF523ODF/|/files/ENCFF545FAT/
ENCFF104JXU	/experiments/ENCSR836COE/	K562	RBM17	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF234WHY/|/files/ENCFF001TDO/|/files/ENCFF625VEV/|/files/ENCFF590AZG/
ENCFF251WLL	/experiments/ENCSR000EHO/	K562	SMARCA4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF577SXY/|/files/ENCFF327OZA/|/files/ENCFF001TDO/|/files/ENCFF155OWJ/
ENCFF483WSN	/experiments/ENCSR000AQI/	K562	RBBP5	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF058DJL/|/files/ENCFF528ISK/|/files/ENCFF617FLM/|/files/ENCFF001TDO/
ENCFF521JOW	/experiments/ENCSR155KHM/	K562	ARNT	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF071HZE/|/files/ENCFF001TDO/|/files/ENCFF011UZZ/|/files/ENCFF652WXC/
ENCFF067ZUO	/experiments/ENCSR502OEK/	K562	ELF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF725PEY/|/files/ENCFF883ZAE/|/files/ENCFF001TDO/|/files/ENCFF813JVU/
ENCFF719RTA	/experiments/ENCSR648INT/	K562	ILK	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF237JZC/|/files/ENCFF001TDO/|/files/ENCFF207HZD/|/files/ENCFF847LIB/
ENCFF360VBZ	/experiments/ENCSR154EIH/	K562	TRIP13	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF733BCO/|/files/ENCFF001TDO/|/files/ENCFF372LVB/|/files/ENCFF971BFZ/
ENCFF985FOK	/experiments/ENCSR277BXW/	MCF-7	ZBTB7B	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF833ZCJ/|/files/ENCFF001TDO/|/files/ENCFF608QLM/|/files/ENCFF193XWN/
ENCFF243FMU	/experiments/ENCSR872ZHM/	HepG2	KDM5A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF480OLQ/|/files/ENCFF001TDO/|/files/ENCFF661ZVZ/|/files/ENCFF077UDW/
ENCFF765NKE	/experiments/ENCSR636EYA/	MCF-7	CTBP1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF922CFN/|/files/ENCFF941VDL/|/files/ENCFF890VHF/
ENCFF987JFX	/experiments/ENCSR160QYK/	K562	GATAD2A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF618ORM/|/files/ENCFF797ZNP/|/files/ENCFF001TDO/|/files/ENCFF091SVZ/
ENCFF325IMI	/experiments/ENCSR138YYY/	K562	GABPB1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF566QTT/|/files/ENCFF451ZHQ/|/files/ENCFF001TDO/|/files/ENCFF527OVH/
ENCFF247HTF	/experiments/ENCSR924TVL/	MCF-7	RFX5	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF376EFD/|/files/ENCFF366JFG/|/files/ENCFF458VAF/
ENCFF521HBG	/experiments/ENCSR000EVX/	K562	ZNF274	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF854CCF/|/files/ENCFF479ZWB/|/files/ENCFF904PBE/
ENCFF390PNX	/experiments/ENCSR784FYS/	HepG2	RBFOX2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF743KRF/|/files/ENCFF176EEQ/|/files/ENCFF001TDO/|/files/ENCFF543ACC/
ENCFF593VVO	/experiments/ENCSR237VLT/	K562	ZBTB40	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF361LXO/|/files/ENCFF727WJU/|/files/ENCFF001TDO/|/files/ENCFF707CDO/
ENCFF100GRL	/experiments/ENCSR197DJH/	MCF-7	SREBF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF531PCT/|/files/ENCFF001TDO/|/files/ENCFF642ZUX/|/files/ENCFF225KYS/
ENCFF081YHC	/experiments/ENCSR590CNM/	HepG2	GATA4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF571MRI/|/files/ENCFF535NWA/|/files/ENCFF899MNG/
ENCFF262ZUB	/experiments/ENCSR776CYN/	K562	ZFP36	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF688ELV/|/files/ENCFF734ODE/|/files/ENCFF233END/
ENCFF513CNT	/experiments/ENCSR076YPO/	K562	RNF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF844TQX/|/files/ENCFF820ZTK/|/files/ENCFF001TDO/|/files/ENCFF576LFG/
ENCFF791BSP	/experiments/ENCSR525YFS/	HepG2	ZBTB40	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF741YYS/|/files/ENCFF246GJS/|/files/ENCFF001TDO/|/files/ENCFF829CKQ/
ENCFF090QJO	/experiments/ENCSR882ERE/	K562	ZKSCAN1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF040DGA/|/files/ENCFF511MUZ/|/files/ENCFF656CUX/
ENCFF134TUC	/experiments/ENCSR155VDK/	MCF-7	ZBTB11	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF321JQC/|/files/ENCFF224PZN/|/files/ENCFF627DPA/
ENCFF331AZY	/experiments/ENCSR541WQI/	A549	MAFK	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF171KTF/|/files/ENCFF973PJK/|/files/ENCFF433MKF/
ENCFF346PKZ	/experiments/ENCSR431FOF/	HepG2	CHD4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF168UAL/|/files/ENCFF723TIO/|/files/ENCFF001TDO/|/files/ENCFF662MTH/
ENCFF459HJZ	/experiments/ENCSR066EBK/	HepG2	FOXA2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF516CRP/|/files/ENCFF001TDO/|/files/ENCFF144UTI/|/files/ENCFF532LNM/
ENCFF811SJN	/experiments/ENCSR157TCS/	K562	SMARCE1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF216OFC/|/files/ENCFF001TDO/|/files/ENCFF118OEM/|/files/ENCFF704QCS/
ENCFF504AID	/experiments/ENCSR674SCQ/	K562	ZNF354B	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF228ORA/|/files/ENCFF849XOM/|/files/ENCFF225EQY/
ENCFF137NMV	/experiments/ENCSR051DXE/	K562	FUS	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF644TNS/|/files/ENCFF001TDO/|/files/ENCFF530LEM/|/files/ENCFF192IFJ/
ENCFF387ZED	/experiments/ENCSR608HVP/	K562	KLF13	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF163SYH/|/files/ENCFF367KYN/|/files/ENCFF119DBB/
ENCFF215TZZ	/experiments/ENCSR047BUZ/	HepG2	ATF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF474JRH/|/files/ENCFF731IFM/|/files/ENCFF001TDO/|/files/ENCFF750HPK/
ENCFF525SMS	/experiments/ENCSR382WLL/	MCF-7	ELK1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF856LKK/|/files/ENCFF927LSX/|/files/ENCFF789XUC/
ENCFF939ETO	/experiments/ENCSR772EEN/	K562	RELA	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF347CVK/|/files/ENCFF001TDO/|/files/ENCFF993MOQ/|/files/ENCFF401ROZ/
ENCFF223MVK	/experiments/ENCSR352BJL/	K562	ZNF318	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF244YZX/|/files/ENCFF001TDO/|/files/ENCFF898ILE/|/files/ENCFF050TDD/
ENCFF924XJK	/experiments/ENCSR524BUE/	K562	RAD51	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF124ZGQ/|/files/ENCFF001TDO/|/files/ENCFF457XPX/|/files/ENCFF103VVN/
ENCFF960WIT	/experiments/ENCSR508DQA/	K562	FOXK2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF451DBC/|/files/ENCFF001TDO/|/files/ENCFF188GHO/|/files/ENCFF158PJI/
ENCFF752DRC	/experiments/ENCSR113LAS/	K562	MTA2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF501DZY/|/files/ENCFF094YIY/|/files/ENCFF186VAU/|/files/ENCFF001TDO/
ENCFF403EOA	/experiments/ENCSR126FZN/	K562	PTRF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF357IPW/|/files/ENCFF001TDO/|/files/ENCFF488ZUO/|/files/ENCFF355KNJ/
ENCFF343BNQ	/experiments/ENCSR234VCE/	MCF-7	DPF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF193LNB/|/files/ENCFF557POD/|/files/ENCFF001TDO/|/files/ENCFF546YTN/
ENCFF452VYJ	/experiments/ENCSR107RHZ/	K562	YBX1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF609DTK/|/files/ENCFF749VLH/|/files/ENCFF669CKL/
ENCFF570TDY	/experiments/ENCSR395HWC/	K562	IKZF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF038VEX/|/files/ENCFF001TDO/|/files/ENCFF669ACI/|/files/ENCFF723ESB/
ENCFF850QMO	/experiments/ENCSR926KTP/	K562	IRF9	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF672YBV/|/files/ENCFF001TDO/|/files/ENCFF437EBC/|/files/ENCFF878TRQ/
ENCFF674WGB	/experiments/ENCSR490LWA/	K562	CEBPG	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF880AEL/|/files/ENCFF001TDO/|/files/ENCFF335AYY/|/files/ENCFF183FOU/
ENCFF864EKR	/experiments/ENCSR000AQJ/	K562	SAP30	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF643AZY/|/files/ENCFF001TDO/|/files/ENCFF081GEA/|/files/ENCFF956WWZ/
ENCFF981VUX	/experiments/ENCSR085QEV/	K562	NBN	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF021DHZ/|/files/ENCFF650HMR/|/files/ENCFF032UMZ/
ENCFF085VAA	/experiments/ENCSR623KNM/	A549	ELK1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF056BGC/|/files/ENCFF044AVI/|/files/ENCFF001TDO/|/files/ENCFF294MMU/
ENCFF372XLP	/experiments/ENCSR854MCV/	K562	IRF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF961ADP/|/files/ENCFF814SES/|/files/ENCFF857RCJ/|/files/ENCFF001TDO/
ENCFF815VNN	/experiments/ENCSR182QWU/	HepG2	ZNF3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF393KLI/|/files/ENCFF001TDO/|/files/ENCFF363YVH/|/files/ENCFF642EEJ/
ENCFF603SNP	/experiments/ENCSR000BMW/	K562	REST	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF051ITR/|/files/ENCFF001TDO/|/files/ENCFF621KLV/|/files/ENCFF764CZH/
ENCFF997NWM	/experiments/ENCSR000BJG/	HepG2	TCF12	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF080AEE/|/files/ENCFF001TDO/|/files/ENCFF549YBI/|/files/ENCFF682QML/
ENCFF981YOM	/experiments/ENCSR000BNN/	K562	THAP1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF508HQW/|/files/ENCFF331SRY/|/files/ENCFF495GTU/
ENCFF828MWO	/experiments/ENCSR000BQQ/	A549	TCF12	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF396UAX/|/files/ENCFF842BMF/|/files/ENCFF866QPM/
ENCFF697VUK	/experiments/ENCSR000BNA/	HepG2	ZBTB33	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF770YEM/|/files/ENCFF839PVK/|/files/ENCFF734JFJ/
ENCFF903MXX	/experiments/ENCSR000EEG/	HepG2	RAD21	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF741VOR/|/files/ENCFF001TDO/|/files/ENCFF770CIC/|/files/ENCFF550URY/
ENCFF385HAD	/experiments/ENCSR243LNQ/	HepG2	PRPF4	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF142SFP/|/files/ENCFF912PLZ/|/files/ENCFF765SIL/
ENCFF182ARF	/experiments/ENCSR000DMJ/	MCF-7	MYC	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF808TOF/|/files/ENCFF373LWH/|/files/ENCFF001TDO/|/files/ENCFF341DDR/
ENCFF835UPN	/experiments/ENCSR112ALD/	HepG2	CREB1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF732KKY/|/files/ENCFF708DXF/|/files/ENCFF001TDO/|/files/ENCFF365ROK/
